year,real_return
1871,0.1541
1872,0.1092
1873,-0.0452
1874,0.0353
1875,0.0609
1876,-0.0220
1877,-0.0277
1878,0.1734
1879,0.4610
1880,0.2295
1881,-0.0197
1882,0.0317
1883,-0.0358
1884,0.1274
1885,0.2601
1886,0.0879
1887,-0.0116
1888,0.0385
1889,0.0416
1890,-0.0842
1891,0.1738
1892,0.0156
1893,-0.1667
1894,0.0508
1895,0.0495
1896,0.0047
1897,0.1478
1898,0.2372
1899,0.0188
1900,0.1502
1901,0.1592
1902,0.0635
1903,-0.1677
1904,0.3298
1905,0.2176
1906,0.0004
1907,-0.3072
1908,0.4272
1909,0.1788
1910,-0.0431
1911,0.0151
1912,0.0364
1913,-0.1225
1914,-0.0667
1915,0.2479
1916,0.0190
1917,-0.3338
1918,0.2072
1919,0.0764
1920,-0.1710
1921,0.2268
1922,0.2677
1923,0.0497
1924,0.2562
1925,0.3160
1926,0.1026
1927,0.3353
1928,0.3884
1929,-0.1530
1930,-0.2855
1931,-0.3747
1932,-0.1095
1933,0.5067
1934,0.0217
1935,0.4490
1936,0.3315
1937,-0.3494
1938,0.2891
1939,0.0059
1940,-0.0561
1941,-0.1712
1942,0.1193
1943,0.2266
1944,0.1635
1945,0.3477
1946,-0.2325
1947,-0.0196
1948,0.0049
1949,0.2089
1950,0.2461
1951,0.1282
1952,0.1227
1953,-0.0222
1954,0.5248
1955,0.2647
1956,0.0353
1957,-0.1373
1958,0.4126
1959,0.0836
1960,-0.0033
1961,0.2564
1962,-0.1013
1963,0.2046
1964,0.1472
1965,0.1045
1966,-0.1356
1967,0.2049
1968,0.0722
1969,-0.1463
1970,-0.0038
1971,0.1073
1972,0.1467
1973,-0.2292
1974,-0.3602
1975,0.2503
1976,0.1807
1977,-0.1363
1978,-0.0319
1979,0.0580
1980,0.1774
1981,-0.1568
1982,0.1468
1983,0.1860
1984,0.0175
1985,0.2653
1986,0.1494
1987,-0.0078
1988,0.1176
1989,0.2669
1990,-0.0998
1991,0.2688
1992,0.0477
1993,0.0745
1994,-0.0133
1995,0.3416
1996,0.1905
1997,0.3122
1998,0.2636
1999,0.1790
2000,-0.1291
2001,-0.1399
2002,-0.2395
2003,0.2640
2004,0.0788
2005,0.0135
2006,0.1309
2007,0.0188
2008,-0.3843
2009,0.2352
2010,0.1271
2011,-0.0021
2012,0.1300
2013,0.2985
2014,0.1139
2015,-0.0073
2016,0.0954
2017,0.1942
2018,-0.0657
2019,0.2881
2020,0.1564
2021,0.2128
2022,-0.1930
2023,0.2413
2024,0.2289
2025,0.0187
